"id_del_pedido","id_del_producto","id_posicion","id_del_cliente","id_dir_cliente","ventas","cantidad","descuento","ganancia","valoracion"
"MX-2021-109491","TEC-AC-10001284-1",2,"WN-16930","DIR-4",62.31,3,0,22.4316,5
"MX-2021-165540","OFF-BI-10004094-1",1,"LS-21010","DIR-4",8.85,5,0.8,-13.7175,2
"HT-2021-133354","OFF-PA-10001800-1",1,"AP-20830","DIR-1",19.44,3,0,9.3312,5
"BR-2021-103744","OFF-BI-10000320-1",1,"MR-17875","DIR-4",4.428,3,0.8,-6.8634,5
"BR-2021-103744","OFF-LA-10004425-1",2,"MR-17875","DIR-4",6.936,3,0.2,2.3409,5
"CO-2021-137680","OFF-PA-10000069-1",1,"AR-15430","DIR-4",22.776,3,0.2,7.6869,1
"CO-2021-137680","OFF-PA-10000174-1",2,"AR-15430","DIR-4",32.896,4,0.2,11.1024,2
"MX-2021-156545","OFF-AR-10003560-1",1,"DS-16030","DIR-4",19.456,4,0.2,3.4048,5
"PE-2021-113880","FUR-CH-10000863-1",1,"FA-21715","DIR-5",634.116,6,0.3,-172.1172,4
"BR-2021-131009","FUR-CH-10001270-1",1,"BH-20380","DIR-8",362.25,6,0.3,0,5
"DO-2021-104269","FUR-CH-10004063-1",1,"DM-13060","DIR-1",457.568,2,0.2,51.4763999999999,2
"BR-2021-131009","FUR-FU-10001095-1",2,"BH-20380","DIR-8",63.552,6,0.6,-34.9536,3
"GT-2021-168312","FUR-TA-10001866-1",1,"SG-14605","DIR-3",376.509,3,0.3,-43.0296,3
"BR-2021-131009","OFF-FA-10004395-1",3,"BH-20380","DIR-8",18.84,5,0.2,-3.5325,4
"PE-2021-113880","OFF-PA-10003036-1",2,"FA-21715","DIR-5",17.472,3,0.2,5.6784,1
"BR-2021-131009","OFF-ST-10001469-1",4,"BH-20380","DIR-8",129.552,3,0.2,-22.6716,3
"GT-2021-168312","OFF-ST-10003692-1",2,"SG-14605","DIR-3",137.352,3,0.2,8.58449999999999,5
"NI-2021-143707","TEC-PH-10003655-1",1,"AP-14770","DIR-1",5.94,3,0,1.6038,5
"NI-2021-107524","OFF-EN-10001990-1",1,"KA-16705","DIR-2",11.36,2,0,5.3392,4
"HN-2021-111157","OFF-PA-10000327-1",1,"JO-18610","DIR-3",3.424,1,0.2,1.07,3
"NI-2021-107524","OFF-PA-10000587-1",2,"KA-16705","DIR-2",36.4,5,0,17.472,4
"HN-2021-111157","TEC-AC-10004353-1",2,"JO-18610","DIR-3",151.2,3,0.2,32.13,5
"MX-2021-127978","FUR-BO-10001972-1",1,"NC-15595","DIR-3",302.45,5,0.5,-199.617,4
"SV-2021-105648","FUR-TA-10002958-1",1,"EN-14155","DIR-2",626.352,3,0.2,-23.4882000000001,3
"GT-2021-130421","OFF-AP-10002534-1",1,"EM-20020","DIR-1",176.772,3,0.8,-459.6072,4
"BR-2021-155852","OFF-AR-10003560-1",1,"MM-10945","DIR-6",19.456,4,0.2,3.4048,1
"NI-2021-127964","OFF-BI-10003429-1",1,"NL-10720","DIR-2",25.32,5,0.2,9.1785,4
"NI-2021-127964","OFF-BI-10004593-1",2,"NL-10720","DIR-2",125.76,3,0.2,40.872,2
"MX-2021-127978","OFF-LA-10000305-1",2,"NC-15595","DIR-3",15.12,3,0.2,4.914,3
"MX-2021-127978","OFF-ST-10002486-1",3,"NC-15595","DIR-3",44.672,8,0.2,-10.0512,2
"NI-2021-127964","TEC-PH-10004700-1",3,"NL-10720","DIR-2",9.99,1,0,4.5954,4
"BR-2021-117016","OFF-AR-10001374-1",1,"AA-20095","DIR-7",15.552,3,0.2,2.3328,1
"MX-2021-116239","OFF-ST-10001370-1",1,"AP-12565","DIR-5",354.9,5,0,17.745,4
"HT-2021-169061","OFF-AR-10000588-1",1,"MM-10150","DIR-1",59.52,3,0,15.4752,2
"HT-2021-169061","OFF-BI-10001617-1",2,"MM-10150","DIR-1",49.632,6,0.2,16.7508,2
"HT-2021-169061","OFF-PA-10001878-1",3,"MM-10150","DIR-1",97.82,2,0,45.9754,4
"HT-2021-169061","OFF-SU-10000381-1",4,"MM-10150","DIR-1",18.62,2,0,5.3998,4
"HT-2021-169061","TEC-AC-10002001-1",5,"MM-10150","DIR-1",479.97,3,0,177.5889,1
"DO-2021-104563","FUR-CH-10002780-1",1,"CO-12715","DIR-1",436.704,6,0.2,21.8352,4
"DO-2021-156587","FUR-CH-10004477-1",1,"OL-10015","DIR-1",48.712,1,0.2,5.4801,2
"DO-2021-104563","FUR-CH-10004495-1",2,"CO-12715","DIR-1",481.568,2,0.2,54.1763999999999,4
"DO-2021-104563","OFF-AR-10000390-1",3,"CO-12715","DIR-1",20.65,5,0,9.499,4
"DO-2021-156587","OFF-AR-10001427-1",2,"OL-10015","DIR-1",17.94,3,0,4.6644,4
"EC-2021-131982","OFF-BI-10004224-1",1,"BS-18685","DIR-6",107.648,2,0.2,33.64,3
"DO-2021-104563","OFF-ST-10000934-1",4,"CO-12715","DIR-1",204.9,5,0,0,3
"DO-2021-156587","OFF-ST-10002344-1",3,"OL-10015","DIR-1",242.94,3,0,4.85880000000002,4
"SV-2021-140116","OFF-AR-10001044-1",1,"DL-16480","DIR-3",83.168,4,0.2,9.35639999999999,2
"AR-2021-100279","OFF-PA-10002259-1",1,"PO-20275","DIR-5",22.38,2,0,10.7424,5
"SV-2021-140116","OFF-ST-10000078-1",2,"DL-16480","DIR-3",636.408,3,0.2,-15.9102000000001,2
"MX-2021-166884","FUR-FU-10003981-1",1,"GA-12205","DIR-3",8.32,5,0.2,2.288,4
"MX-2021-114790","OFF-AP-10002578-1",1,"CC-14215","DIR-5",146.76,3,0,38.1576,3
"BR-2021-103338","OFF-AR-10001770-1",1,"EA-19435","DIR-7",7.98,3,0,2.0748,4
"MX-2021-166884","OFF-FA-10001561-1",2,"GA-12205","DIR-3",10.464,6,0.2,1.7004,5
"MX-2021-114790","OFF-PA-10000213-1",2,"CC-14215","DIR-5",14.94,3,0,7.0218,2
"NI-2021-158337","OFF-PA-10002137-1",1,"ER-16525","DIR-4",108.92,14,0,49.014,4
"MX-2021-114790","TEC-AC-10000710-1",3,"CC-14215","DIR-5",32.96,2,0,14.1728,2
"MX-2021-114790","TEC-PH-10000984-1",4,"CC-14215","DIR-5",587.97,3,0,164.6316,3
"GT-2021-139675","FUR-CH-10004063-1",1,"DS-18595","DIR-4",915.14,4,0.2,102.95,5
"GT-2021-139675","FUR-FU-10001979-1",2,"DS-18595","DIR-4",327.76,8,0,91.77,5
"VE-2021-125521","FUR-CH-10003379-1",1,"CS-12325","DIR-5",1139.92,4,0,284.98,4
"CO-2021-157623","OFF-AR-10003723-1",1,"DC-13225","DIR-7",3.38,1,0,1.2506,3
"MX-2021-114510","OFF-BI-10001617-1",1,"LT-15295","DIR-3",33.088,4,0.2,11.1672,2
"MX-2021-114510","OFF-BI-10003007-1",2,"LT-15295","DIR-3",62.048,2,0.2,20.1656,3
"MX-2021-100293","OFF-PA-10000176-1",1,"IO-18475","DIR-3",91.056,6,0.2,31.8696,1
"CO-2021-157623","OFF-PA-10001204-1",2,"DC-13225","DIR-7",10.56,2,0,4.752,1
"BR-2021-152618","OFF-PA-10001215-1",1,"VV-19465","DIR-10",8.448,2,0.2,2.64,1
"MX-2021-114510","OFF-ST-10000736-1",3,"LT-15295","DIR-3",80.98,1,0,3.2392,4
"MX-2021-114510","OFF-ST-10003221-1",4,"LT-15295","DIR-3",21.36,2,0,5.7672,3
"MX-2021-114510","TEC-AC-10004877-1",5,"LT-15295","DIR-3",82.8,12,0,6.624,4
"BR-2021-152618","TEC-MA-10003626-1",2,"VV-19465","DIR-10",574.91,2,0.3,156.047,1
"SV-2021-149958","FUR-FU-10001756-1",1,"LV-10240","DIR-2",45.696,3,0.2,5.14079999999999,1
"SV-2021-149958","OFF-BI-10000773-1",2,"LV-10240","DIR-2",7.218,3,0.7,-5.5338,1
"SV-2021-149958","OFF-BI-10001543-1",3,"LV-10240","DIR-2",43.188,4,0.7,-31.6712,1
"SV-2021-149958","OFF-PA-10002120-1",4,"LV-10240","DIR-2",131.904,3,0.2,47.8152,3
"SV-2021-149958","OFF-ST-10001490-1",5,"LV-10240","DIR-2",142.776,1,0.2,17.847,1
"BR-2021-157609","TEC-PH-10002415-1",1,"KA-16705","DIR-5",471.92,2,0.2,29.495,3
"NI-2021-148838","FUR-TA-10001950-1",1,"KS-12340","DIR-3",1071.576,4,0.4,-553.6476,5
"NI-2021-148838","FUR-TA-10003473-1",2,"KS-12340","DIR-3",1579.746,7,0.4,-447.5947,4
"NI-2021-148838","FUR-TA-10004175-1",3,"KS-12340","DIR-3",613.908,3,0.4,-122.7816,4
"BR-2021-118339","OFF-AP-10001154-1",1,"AA-11515","DIR-4",93.78,2,0,36.5742,3
"MX-2021-164763","OFF-AP-10003971-1",1,"AY-17440","DIR-3",32.67,3,0,8.4942,5
"MX-2021-158442","OFF-AR-10003732-1",1,"AL-10750","DIR-4",4.448,2,0.2,0.3336,2
"BR-2021-118339","OFF-AR-10003829-1",2,"AA-11515","DIR-4",19.68,6,0,5.7072,1
"BR-2021-118339","OFF-BI-10000136-1",3,"AA-11515","DIR-4",35.88,6,0,17.2224,3
"MX-2021-164763","OFF-BI-10000309-1",2,"AY-17440","DIR-3",30.44,2,0,14.9156,3
"MX-2021-164763","OFF-BI-10000605-1",3,"AY-17440","DIR-3",11.43,3,0,5.3721,4
"BR-2021-118339","OFF-BI-10001758-1",4,"AA-11515","DIR-4",53.4,10,0,25.098,2
"BR-2021-118339","OFF-PA-10000466-1",5,"AA-11515","DIR-4",47.18,7,0,23.59,2
"NI-2021-148838","OFF-PA-10000919-1",4,"KS-12340","DIR-3",155.04,4,0,75.9696,4
"MX-2021-158442","OFF-PA-10002195-2",2,"AL-10750","DIR-4",5.184,1,0.2,1.8792,3
"MX-2021-158442","OFF-PA-10002365-1",3,"AL-10750","DIR-4",15.552,3,0.2,5.4432,2
"NI-2021-148838","OFF-PA-10002960-1",5,"KS-12340","DIR-3",34.86,7,0,16.3842,4
"MX-2021-164763","OFF-PA-10003063-1",4,"AY-17440","DIR-3",16,4,0,7.68,4
"MX-2021-164763","OFF-PA-10003349-1",5,"AY-17440","DIR-3",12.96,2,0,6.3504,4
"HN-2021-127859","OFF-PA-10003641-1",1,"AP-19255","DIR-1",126.624,6,0.2,41.1528,4
"SV-2021-111871","FUR-BO-10004218-1",1,"AB-13795","DIR-1",1198.33,10,0.15,70.49,2
"MX-2021-145317","FUR-FU-10001986-1",1,"JS-20320","DIR-4",122.352,3,0.2,15.294,1
"MX-2021-145317","FUR-FU-10004270-2",2,"JS-20320","DIR-4",30.768,2,0.2,8.0766,1
"CO-2021-131275","FUR-FU-10004597-1",1,"AO-20050","DIR-9",111,2,0,14.43,4
"MX-2021-145317","OFF-AR-10003183-1",3,"JS-20320","DIR-4",8.016,3,0.2,1.002,3
"MX-2021-145317","OFF-FA-10003112-1",4,"JS-20320","DIR-4",18.936,3,0.2,5.9175,1
"MX-2021-145317","OFF-PA-10001804-1",5,"JS-20320","DIR-4",21.376,4,0.2,7.4816,1
"CO-2021-131275","OFF-ST-10000078-1",2,"AO-20050","DIR-9",1856.19,7,0,334.1142,4
"CO-2021-131275","TEC-MA-10001148-2",3,"AO-20050","DIR-9",1279.968,4,0.2,415.9896,5
"MX-2021-145317","TEC-MA-10002412-1",6,"JS-20320","DIR-4",22638.48,6,0.5,-1811.0784,2
"MX-2021-145317","TEC-MA-10003626-1",7,"JS-20320","DIR-4",821.3,4,0.5,-16.426,3
"MX-2021-103989","FUR-FU-10002508-1",1,"LG-17605","DIR-4",20.016,3,0.2,5.5044,4
"MX-2021-103989","FUR-FU-10003981-1",2,"LG-17605","DIR-4",4.992,3,0.2,1.3728,2
"MX-2021-103989","OFF-BI-10001196-1",3,"LG-17605","DIR-4",33.57,5,0.7,-25.737,4
"MX-2021-103989","OFF-LA-10000443-1",4,"LG-17605","DIR-4",11.808,4,0.2,3.9852,4
"MX-2021-103989","OFF-ST-10000918-1",5,"LG-17605","DIR-4",26.16,3,0.2,1.962,3
"MX-2021-103989","TEC-AC-10002647-1",6,"LG-17605","DIR-4",170.24,2,0.2,53.2,3
"MX-2021-103989","TEC-PH-10004667-1",7,"LG-17605","DIR-4",323.976,3,0.2,28.3479,1
"CU-2021-155544","FUR-CH-10000422-1",1,"BM-14440","DIR-1",218.376,3,0.2,-10.9188,2
"CU-2021-155544","FUR-FU-10001473-1",2,"BM-14440","DIR-1",32.952,3,0.2,6.5904,3
"MX-2021-163223","OFF-AR-10001573-1",1,"CC-16690","DIR-5",9.32,4,0,2.7028,2
"BR-2021-140004","OFF-AR-10004027-1",1,"AS-12025","DIR-8",6.048,3,0.2,1.5876,1
"BR-2021-140004","OFF-AR-10004685-1",2,"AS-12025","DIR-8",7.408,2,0.2,1.2038,2
"MX-2021-163223","OFF-BI-10001597-1",2,"CC-16690","DIR-5",122.94,3,0,59.0112,2
"MX-2021-163223","OFF-LA-10004409-1",3,"CC-16690","DIR-5",14.4,5,0,6.624,1
"CU-2021-155544","OFF-LA-10004544-1",3,"BM-14440","DIR-1",59.2,5,0.2,22.2,2
"MX-2021-163223","OFF-PA-10000675-1",4,"CC-16690","DIR-5",122.97,3,0,60.2553,1
"BR-2021-107405","OFF-ST-10002301-1",1,"GC-21205","DIR-6",16.272,1,0.2,-3.8646,3
"MX-2021-163223","TEC-PH-10000730-1",5,"CC-16690","DIR-5",3499.93,7,0,909.9818,1
"MX-2021-148040","FUR-CH-10001482-1",1,"LA-11275","DIR-3",314.352,3,0.2,-35.3646,2
"AR-2021-129609","OFF-AR-10003478-1",1,"LA-21835","DIR-3",16.28,2,0,6.512,5
"CO-2021-158057","OFF-BI-10002735-1",1,"IS-12685","DIR-3",51.465,5,0.7,-39.4565,4
"CO-2021-158057","OFF-BI-10004410-1",2,"IS-12685","DIR-3",7.644,4,0.7,-5.8604,3
"MX-2021-148040","OFF-PA-10002581-1",2,"LA-11275","DIR-3",74.352,3,0.2,23.235,5
"MX-2021-164749","OFF-LA-10004484-1",1,"CM-11740","DIR-4",9.912,3,0.2,3.2214,1
"MX-2021-120838","OFF-ST-10000585-1",1,"CL-18865","DIR-2",330.4,2,0,85.904,2
"MX-2021-120838","TEC-PH-10003484-1",2,"CL-18865","DIR-2",604.752,6,0.2,37.797,2
"BR-2021-143637","FUR-FU-10002813-1",1,"FB-17710","DIR-4",40.48,2,0,14.5728,3
"NI-2021-147235","OFF-PA-10004948-1",1,"AT-11920","DIR-1",24.9,5,0,11.703,5
"NI-2021-148586","FUR-CH-10002439-1",1,"AL-10750","DIR-2",366.786,7,0.1,65.2064,3
