"id_del_cliente","id_dir_cliente","ciudad","estado_provincia","pais_region","region"
"AC-19645","DIR-1","Manzanillo","Granma","Cuba","Caribe"
"AC-19645","DIR-2","Santa Clara","Villa Clara","Cuba","Caribe"
"AC-19645","DIR-3","Mejicanos","San Salvador","El Salvador","Centro"
"AC-19645","DIR-4","Ciudad de México","Distrito Federal","México","Norte"
"AC-19645","DIR-5","Franco da Rocha","Sao Paulo","Brasil","Sur"
"AC-20905","DIR-1","Querétaro","Querétaro","México","Norte"
"AC-20980","DIR-1","Santo Domingo","Distrito Nacional","República Dominicana","Caribe"
"AC-20980","DIR-2","Mixco","Guatemala","Guatemala","Centro"
"AC-20980","DIR-3","Villa Nueva","Guatemala","Guatemala","Centro"
"AC-20980","DIR-4","Itajaí","Santa Catarina","Brasil","Sur"
"AC-20980","DIR-5","Lima","Lima (city)","Perú","Sur"
"AD-15340","DIR-1","Tegucigalpa","Francisco Morazán","Honduras","Centro"
"AD-15340","DIR-2","Managua","Managua","Nicaragua","Centro"
"AD-15340","DIR-3","Ciudad del Carmen","Campeche","México","Norte"
"AD-15340","DIR-4","Ciudad de México","Distrito Federal","México","Norte"
"AD-19120","DIR-1","Managua","Managua","Nicaragua","Centro"
"AD-19120","DIR-2","Ciudad Juárez","Chihuahua","México","Norte"
"AD-19120","DIR-3","Cancún","Quintana Roo","México","Norte"
"AD-19120","DIR-4","Ciudad Victoria","Tamaulipas","México","Norte"
"AE-10270","DIR-1","Quetzaltenango","Quezaltenango","Guatemala","Centro"
"AE-10270","DIR-2","Tegucigalpa","Francisco Morazán","Honduras","Centro"
"AE-10270","DIR-3","Managua","Managua","Nicaragua","Centro"
"AE-10270","DIR-4","Chihuahua","Chihuahua","México","Norte"
"AE-10270","DIR-5","Torreón","Coahuila","México","Norte"
"AE-10270","DIR-6","San Salvador de Jujuy","Jujuy","Argentina","Sur"
"AE-13435","DIR-1","Santa Cruz de Barahona","Barahona","República Dominicana","Caribe"
"AE-13435","DIR-2","Santo Domingo","Distrito Nacional","República Dominicana","Caribe"
"AE-13435","DIR-3","San Juan de la Maguana","San Juan","República Dominicana","Caribe"
"AE-13435","DIR-4","Amatitlán","Guatemala","Guatemala","Centro"
"AE-13435","DIR-5","Managua","Managua","Nicaragua","Centro"
"AE-13435","DIR-6","Ciudad de México","Distrito Federal","México","Norte"
"AE-13435","DIR-7","León","Guanajuato","México","Norte"
"AE-13435","DIR-8","Huancayo","Junín","Perú","Sur"
"AE-18775","DIR-1","Holguín","Holguín","Cuba","Caribe"
"AE-18775","DIR-2","Las Tunas","Las Tunas","Cuba","Caribe"
"AE-18775","DIR-3","Quetzaltenango","Quezaltenango","Guatemala","Centro"
"AE-18775","DIR-4","Managua","Managua","Nicaragua","Centro"
"AE-18775","DIR-5","Tecomán","Colima","México","Norte"
"AE-18775","DIR-6","San Luis Potosí","San Luis Potosí","México","Norte"
"AE-18775","DIR-7","Presidente Prudente","Sao Paulo","Brasil","Sur"
"AE-20530","DIR-1","Mixco","Guatemala","Guatemala","Centro"
"AE-20530","DIR-2","Tegucigalpa","Francisco Morazán","Honduras","Centro"
"AE-20530","DIR-3","Managua","Managua","Nicaragua","Centro"
"AE-20530","DIR-4","Salta","Salta","Argentina","Sur"
"AE-20530","DIR-5","Cassilândia","Mato Grosso del Sur","Brasil","Sur"
"AE-20530","DIR-6","Montes Claros","Minas Gerais","Brasil","Sur"
"AE-20530","DIR-7","Indaial","Santa Catarina","Brasil","Sur"
"AF-12745","DIR-1","Bridgetown","San Miguel","Barbados","Caribe"
"AF-12745","DIR-2","Cárdenas","Matanzas","Cuba","Caribe"
"AF-12745","DIR-3","San Salvador","San Salvador","El Salvador","Centro"
"AF-12745","DIR-4","Ciudad Juárez","Chihuahua","México","Norte"
"AF-12745","DIR-5","Ciudad Victoria","Tamaulipas","México","Norte"
"AF-12745","DIR-6","Macapá","Amapá","Brasil","Sur"
"AF-12745","DIR-7","Sao Paulo","Sao Paulo","Brasil","Sur"
"AF-12745","DIR-8","Quito","Pichincha","Ecuador","Sur"
"AF-20605","DIR-1","San Salvador","San Salvador","El Salvador","Centro"
"AF-20605","DIR-2","Villa Nueva","Guatemala","Guatemala","Centro"
"AF-20605","DIR-3","Managua","Managua","Nicaragua","Centro"
"AF-20605","DIR-4","Petrópolis","Río de Janeiro","Brasil","Sur"
"AF-20605","DIR-5","Sao Paulo","Sao Paulo","Brasil","Sur"
"AG-11125","DIR-1","San Salvador","San Salvador","El Salvador","Centro"
"AG-11125","DIR-2","Tegucigalpa","Francisco Morazán","Honduras","Centro"
"AG-11125","DIR-3","Managua","Managua","Nicaragua","Centro"
"AG-11125","DIR-4","Sucre","Chuquisaca","Bolivia","Sur"
"AG-11125","DIR-5","Abreu e Lima","Pernambuco","Brasil","Sur"
"AG-11125","DIR-6","Gaspar","Santa Catarina","Brasil","Sur"
"AG-11125","DIR-7","Navegantes","Santa Catarina","Brasil","Sur"
"AG-11125","DIR-8","Sumaré","Sao Paulo","Brasil","Sur"
"AG-11455","DIR-1","Moca","Espaillat","República Dominicana","Caribe"
"AG-11455","DIR-2","San Pedro de Macorís","San Pedro de Macorís","República Dominicana","Caribe"
"AG-11455","DIR-3","Apopa","San Salvador","El Salvador","Centro"
"AG-11455","DIR-4","Gravatá","Pernambuco","Brasil","Sur"
"AG-11455","DIR-5","Criciúma","Santa Catarina","Brasil","Sur"
"AG-11455","DIR-6","Bogotá","Bogotá","Colombia","Sur"
"AG-11560","DIR-1","Morelia","Michoacán","México","Norte"
"AG-11560","DIR-2","Curitiba","Paraná","Brasil","Sur"
"AG-13090","DIR-1","Santo Domingo","Distrito Nacional","República Dominicana","Caribe"
"AG-13090","DIR-2","Huehuetenango","Huehuetenango","Guatemala","Centro"
"AG-13090","DIR-3","Morelia","Michoacán","México","Norte"
"AG-13090","DIR-4","Maringá","Paraná","Brasil","Sur"
"AG-13090","DIR-5","Joao Pessoa","Paraíba","Brasil","Sur"
"AG-13090","DIR-6","Bello","Antioquia","Colombia","Sur"
"AG-13090","DIR-7","Lima","Lima (city)","Perú","Sur"
"AG-13630","DIR-1","Santa Cruz de Barahona","Barahona","República Dominicana","Caribe"
"AG-13630","DIR-2","Managua","Managua","Nicaragua","Centro"
"AG-15760","DIR-1","Mixco","Guatemala","Guatemala","Centro"
"AG-15760","DIR-2","Morelia","Michoacán","México","Norte"
"AG-19180","DIR-1","Santo Domingo","Distrito Nacional","República Dominicana","Caribe"
"AG-19180","DIR-2","Mixco","Guatemala","Guatemala","Centro"
"AG-19180","DIR-3","Ciudad Choluteca","Choluteca","Honduras","Centro"
"AG-19180","DIR-4","Managua","Managua","Nicaragua","Centro"
"AG-19180","DIR-5","Cuernavaca","Morelos","México","Norte"
"AG-19180","DIR-6","Guasave","Sinaloa","México","Norte"
"AG-19180","DIR-7","Sao Paulo","Sao Paulo","Brasil","Sur"
"AG-20080","DIR-1","Santo Domingo","Distrito Nacional","República Dominicana","Caribe"
"AG-20080","DIR-2","Campo Grande","Mato Grosso del Sur","Brasil","Sur"
"AG-20080","DIR-3","Valencia","Carabobo","Venezuela","Sur"
"AH-21865","DIR-1","Soyapango","San Salvador","El Salvador","Centro"
"AH-21865","DIR-10","Guanare","Portuguesa","Venezuela","Sur"
"AH-21865","DIR-11","San Cristóbal","Táchira","Venezuela","Sur"
"AH-21865","DIR-2","Petapa","Guatemala","Guatemala","Centro"
"AH-21865","DIR-3","Ciudad de México","Distrito Federal","México","Norte"
"AH-21865","DIR-4","Jiutepec","Morelos","México","Norte"
"AH-21865","DIR-5","Poza Rica de Hidalgo","Veracruz","México","Norte"
"AH-21865","DIR-6","Cochabamba","Cochabamba","Bolivia","Sur"
"AH-21865","DIR-7","Bom Jesus da Lapa","Bahía","Brasil","Sur"
"AH-21865","DIR-8","Salto","Sao Paulo","Brasil","Sur"
"AH-21865","DIR-9","Sao Paulo","Sao Paulo","Brasil","Sur"
"AJ-11110","DIR-1","Soyapango","San Salvador","El Salvador","Centro"
"AJ-11110","DIR-2","Mixco","Guatemala","Guatemala","Centro"
"AJ-11110","DIR-3","Managua","Managua","Nicaragua","Centro"
"AJ-11110","DIR-4","Tijuana","Baja California","México","Norte"
"AJ-11110","DIR-5","Buenos Aires","Ciudad Autónoma de Buenos Aires","Argentina","Sur"
"AJ-11110","DIR-6","Ibiúna","Sao Paulo","Brasil","Sur"
"AJ-11110","DIR-7","Cartagena","Bolívar","Colombia","Sur"
"AJ-17320","DIR-1","Camagüey","Camagüey","Cuba","Caribe"
"AJ-17320","DIR-2","Mixco","Guatemala","Guatemala","Centro"
"AJ-17320","DIR-3","San Pedro Sula","Cortés","Honduras","Centro"
"AJ-17320","DIR-4","Arraiján","Panamá","Panamá","Centro"
"AJ-17320","DIR-5","Ciudad de México","Distrito Federal","México","Norte"
"AJ-17320","DIR-6","Morelia","Michoacán","México","Norte"
"AJ-17320","DIR-7","Monterrey","Nuevo León","México","Norte"
"AJ-17320","DIR-8","Indaiatuba","Sao Paulo","Brasil","Sur"
"AJ-17320","DIR-9","Sao Paulo","Sao Paulo","Brasil","Sur"
"AJ-21655","DIR-1","Palma Soriano","Santiago de Cuba","Cuba","Caribe"
"AJ-21655","DIR-2","Mixco","Guatemala","Guatemala","Centro"
"AJ-21655","DIR-3","Tijuana","Baja California","México","Norte"
"AJ-21655","DIR-4","Penedo","Alagoas","Brasil","Sur"
"AJ-21655","DIR-5","Açu","Río Grande del Norte","Brasil","Sur"
"AL-10750","DIR-1","Soyapango","San Salvador","El Salvador","Centro"
"AL-10750","DIR-2","Managua","Managua","Nicaragua","Centro"
"AL-10750","DIR-3","Ciudad de México","Distrito Federal","México","Norte"
"AL-10750","DIR-4","Monterrey","Nuevo León","México","Norte"
"AL-10750","DIR-5","Barbacena","Minas Gerais","Brasil","Sur"
"AL-10960","DIR-1","Cienfuegos","Cienfuegos","Cuba","Caribe"
"AL-10960","DIR-2","Soyapango","San Salvador","El Salvador","Centro"
"AL-10960","DIR-3","Managua","Managua","Nicaragua","Centro"
"AL-13645","DIR-1","Concepción de La Vega","La Vega","República Dominicana","Caribe"
"AL-13645","DIR-2","Mixco","Guatemala","Guatemala","Centro"
"AL-13645","DIR-3","Torreón","Coahuila","México","Norte"
"AL-13645","DIR-4","Ciudad de México","Distrito Federal","México","Norte"
"AL-13645","DIR-5","Santa Catarina","Nuevo León","México","Norte"
"AL-13645","DIR-6","Asunción","Asunción","Paraguay","Sur"
"AL-13645","DIR-7","Cajamarca","Cajamarca","Perú","Sur"
"AL-13645","DIR-8","Huancayo","Junín","Perú","Sur"
"AL-16960","DIR-1","Soyapango","San Salvador","El Salvador","Centro"
"AL-16960","DIR-2","Sonsonate","Sonsonate","El Salvador","Centro"
"AL-16960","DIR-3","Managua","Managua","Nicaragua","Centro"
"AL-16960","DIR-4","Santiago","Santiago","Chile","Sur"
"AL-17395","DIR-1","Santo Domingo","Distrito Nacional","República Dominicana","Caribe"
"AL-17395","DIR-2","San Salvador","San Salvador","El Salvador","Centro"
"AL-17395","DIR-3","Soyapango","San Salvador","El Salvador","Centro"
"AL-17395","DIR-4","Tegucigalpa","Francisco Morazán","Honduras","Centro"
"AL-17395","DIR-5","La Chorrera","Panamá","Panamá","Centro"
"AL-17395","DIR-6","Ciudad de México","Distrito Federal","México","Norte"
"AL-17395","DIR-7","Milpa Alta","Distrito Federal","México","Norte"
"AL-17395","DIR-8","Brumado","Bahía","Brasil","Sur"
"AL-21190","DIR-1","Palma Soriano","Santiago de Cuba","Cuba","Caribe"
"AL-21190","DIR-2","Managua","Managua","Nicaragua","Centro"
"AL-21190","DIR-3","Ciudad del Carmen","Campeche","México","Norte"
"AL-21190","DIR-4","Ciudad de México","Distrito Federal","México","Norte"
"AM-13000","DIR-1","San Pedro de Macorís","San Pedro de Macorís","República Dominicana","Caribe"
"AM-13000","DIR-2","Mixco","Guatemala","Guatemala","Centro"
"AM-13000","DIR-3","Managua","Managua","Nicaragua","Centro"
"AM-13000","DIR-4","Ciudad de México","Distrito Federal","México","Norte"
"AM-13000","DIR-5","Salvador","Bahía","Brasil","Sur"
"AM-13000","DIR-6","Joao Pessoa","Paraíba","Brasil","Sur"
"AM-13000","DIR-7","Sao Paulo","Sao Paulo","Brasil","Sur"
"AM-13000","DIR-8","Girón","Santander","Colombia","Sur"
"AM-19420","DIR-1","Santo Domingo","Distrito Nacional","República Dominicana","Caribe"
"AM-19420","DIR-2","Chimaltenango","Chimaltenango","Guatemala","Centro"
"AM-19420","DIR-3","Ciudad de México","Distrito Federal","México","Norte"
"AM-19420","DIR-4","San Juan del Río","Querétaro","México","Norte"
"AM-19420","DIR-5","Mendoza","Mendoza","Argentina","Sur"
"AM-19690","DIR-1","Apopa","San Salvador","El Salvador","Centro"
"AM-19690","DIR-2","Villa Nueva","Guatemala","Guatemala","Centro"
"AM-19690","DIR-3","Tegucigalpa","Francisco Morazán","Honduras","Centro"
"AM-19690","DIR-4","Ciudad de México","Distrito Federal","México","Norte"
"AM-19690","DIR-5","Bagé","Río Grande del Sur","Brasil","Sur"
"AM-20545","DIR-1","Tegucigalpa","Francisco Morazán","Honduras","Centro"
"AM-20545","DIR-2","Managua","Managua","Nicaragua","Centro"
"AM-20545","DIR-3","Ciudad Madero","Tamaulipas","México","Norte"
"AM-20545","DIR-4","Jacareí","Sao Paulo","Brasil","Sur"
"AM-20545","DIR-5","Sao Paulo","Sao Paulo","Brasil","Sur"
"AM-20695","DIR-1","Mixco","Guatemala","Guatemala","Centro"
"AM-20695","DIR-2","Irapuato","Guanajuato","México","Norte"
"AM-20695","DIR-3","Buenos Aires","Ciudad Autónoma de Buenos Aires","Argentina","Sur"
"AM-20695","DIR-4","Salvador","Bahía","Brasil","Sur"
"AM-20695","DIR-5","Ponte Nova","Minas Gerais","Brasil","Sur"
"AM-20695","DIR-6","Rolândia","Paraná","Brasil","Sur"
"AM-20695","DIR-7","Jaú","Sao Paulo","Brasil","Sur"
"AM-20695","DIR-8","Valledupar","Cesar","Colombia","Sur"
"AM-20695","DIR-9","Quito","Pichincha","Ecuador","Sur"
"AN-12355","DIR-1","Pinar del Río","Pinar del Río","Cuba","Caribe"
"AN-12355","DIR-10","Bucaramanga","Santander","Colombia","Sur"
"AN-12355","DIR-11","Lima","Lima (city)","Perú","Sur"
"AN-12355","DIR-2","Santo Domingo","Distrito Nacional","República Dominicana","Caribe"
"AN-12355","DIR-3","Cuscatancingo","San Salvador","El Salvador","Centro"
"AN-12355","DIR-4","Chimaltenango","Chimaltenango","Guatemala","Centro"
"AN-12355","DIR-5","Managua","Managua","Nicaragua","Centro"
"AN-12355","DIR-6","Ixtapaluca","México","México","Norte"
"AN-12355","DIR-7","Nuevo Laredo","Tamaulipas","México","Norte"
"AN-12355","DIR-8","Cochabamba","Cochabamba","Bolivia","Sur"
"AN-12355","DIR-9","Arapiraca","Alagoas","Brasil","Sur"
"AN-15415","DIR-1","Santo Domingo","Distrito Nacional","República Dominicana","Caribe"
"AN-15415","DIR-2","Managua","Managua","Nicaragua","Centro"
"AN-15415","DIR-3","Limoeiro do Norte","Ceará","Brasil","Sur"
"AN-15415","DIR-4","Uruguaiana","Río Grande del Sur","Brasil","Sur"
"AN-15415","DIR-5","Ibiúna","Sao Paulo","Brasil","Sur"
"AN-15415","DIR-6","Sao Paulo","Sao Paulo","Brasil","Sur"
"AO-16735","DIR-1","Escuintla","Escuintla","Guatemala","Centro"
"AO-16735","DIR-2","La Ceiba","Atlántida","Honduras","Centro"
"AO-16735","DIR-3","Ciudad de México","Distrito Federal","México","Norte"
"AO-20050","DIR-1","San Pedro Sula","Cortés","Honduras","Centro"
"AO-20050","DIR-2","David","Chiriquí","Panamá","Centro"
"AO-20050","DIR-3","Ciudad de México","Distrito Federal","México","Norte"
"AO-20050","DIR-4","Acámbaro","Guanajuato","México","Norte"
"AO-20050","DIR-5","Guadalajara","Jalisco","México","Norte"
"AO-20050","DIR-6","Ponte Nova","Minas Gerais","Brasil","Sur"
"AO-20050","DIR-7","Santarém","Pará","Brasil","Sur"
"AO-20050","DIR-8","Florencia","Caquetá","Colombia","Sur"
"AO-20050","DIR-9","Soacha","Cundinamarca","Colombia","Sur"
"AO-20965","DIR-1","San Salvador","San Salvador","El Salvador","Centro"
"AO-20965","DIR-2","Soyapango","San Salvador","El Salvador","Centro"
"AO-20965","DIR-3","Mixco","Guatemala","Guatemala","Centro"
"AO-20965","DIR-4","Tegucigalpa","Francisco Morazán","Honduras","Centro"
"AO-20965","DIR-5","León","Guanajuato","México","Norte"
"AO-20965","DIR-6","San Francisco del Rincón","Guanajuato","México","Norte"
"AO-20965","DIR-7","Orizaba","Veracruz","México","Norte"
"AO-20965","DIR-8","Catalao","Goiás","Brasil","Sur"
"AO-20965","DIR-9","Apucarana","Paraná","Brasil","Sur"
"AP-10810","DIR-1","Ciudad de México","Distrito Federal","México","Norte"
"AP-12565","DIR-1","Santo Domingo","Distrito Nacional","República Dominicana","Caribe"
"AP-12565","DIR-10","Bragança Paulista","Sao Paulo","Brasil","Sur"
"AP-12565","DIR-11","Lima","Lima (city)","Perú","Sur"
"AP-12565","DIR-2","San Pedro de Macorís","San Pedro de Macorís","República Dominicana","Caribe"
"AP-12565","DIR-3","Managua","Managua","Nicaragua","Centro"
"AP-12565","DIR-4","Ciudad de México","Distrito Federal","México","Norte"
"AP-12565","DIR-5","San Luis Potosí","San Luis Potosí","México","Norte"
"AP-12565","DIR-6","Los Mochis","Sinaloa","México","Norte"
"AP-12565","DIR-7","Sao Luís","Maranhao","Brasil","Sur"
"AP-12565","DIR-8","Itaúna","Minas Gerais","Brasil","Sur"
"AP-12565","DIR-9","Bento Gonçalves","Río Grande del Sur","Brasil","Sur"
