"id_del_pedido","fecha_del_pedido","fecha_de_envio","metodo_de_envio","id_del_cliente"
"AR-2022-119214",2022-01-23,2022-01-27,"Estándar","FB-11905"
"AR-2022-121699",2022-08-10,2022-08-14,"Estándar","CS-11320"
"AR-2022-123568",2022-11-08,2022-11-14,"Estándar","AA-20095"
"AR-2022-123673",2022-10-30,2022-11-01,"Rápido","EA-12070"
"AR-2022-124499",2022-10-09,2022-10-13,"Estándar","HD-14380"
"AR-2022-125696",2022-10-02,2022-10-06,"Estándar","BS-18685"
"AR-2022-127754",2022-07-26,2022-07-31,"Estándar","SP-12760"
"AR-2022-129476",2022-10-15,2022-10-20,"Estándar","NJ-19060"
"AR-2022-132836",2022-06-01,2022-06-05,"Estándar","MM-10945"
"AR-2022-133837",2022-04-13,2022-04-18,"Estándar","DA-21100"
"AR-2022-135853",2022-12-11,2022-12-14,"Urgente","MC-12775"
"AR-2022-136476",2022-04-05,2022-04-10,"Estándar","NC-14650"
"AR-2022-136805",2022-05-23,2022-05-27,"Rápido","SN-18445"
"AR-2022-138121",2022-12-17,2022-12-17,"Mismo día","MN-15835"
"AR-2022-139780",2022-12-31,2023-01-02,"Rápido","IR-10690"
"AR-2022-140375",2022-10-02,2022-10-05,"Rápido","AB-20470"
"AR-2022-143532",2022-03-19,2022-03-24,"Estándar","DG-12850"
"AR-2022-144190",2022-06-09,2022-06-13,"Estándar","NL-18415"
"AR-2022-147662",2022-02-14,2022-02-19,"Estándar","EG-16315"
"AR-2022-149629",2022-07-17,2022-07-20,"Rápido","TS-17965"
"AR-2022-149811",2022-01-04,2022-01-10,"Estándar","NM-12250"
"AR-2022-150560",2022-12-11,2022-12-12,"Urgente","MA-20455"
"AR-2022-153535",2022-05-20,2022-05-24,"Estándar","AB-20470"
"AR-2022-153717",2022-12-25,2023-01-01,"Estándar","JM-13495"
"AR-2022-157770",2022-12-13,2022-12-15,"Urgente","CR-19585"
"AR-2022-162201",2022-06-08,2022-06-12,"Estándar","RC-10495"
"AR-2022-163055",2022-08-09,2022-08-16,"Estándar","FM-13180"
"AR-2022-164448",2022-10-31,2022-11-04,"Rápido","NL-12835"
"AR-2023-102596",2023-12-27,2023-12-30,"Urgente","HU-19810"
"AR-2023-106306",2023-03-08,2023-03-08,"Mismo día","PG-18820"
"AR-2023-108504",2023-02-05,2023-02-05,"Mismo día","SM-18955"
"AR-2023-108567",2023-05-20,2023-05-24,"Estándar","FV-13210"
"AR-2023-108959",2023-03-10,2023-03-14,"Rápido","LA-17785"
"AR-2023-110254",2023-08-04,2023-08-08,"Estándar","KM-17755"
"AR-2023-112669",2023-04-14,2023-04-14,"Mismo día","PA-16465"
"AR-2023-113621",2023-12-01,2023-12-05,"Estándar","IR-15745"
"AR-2023-114601",2023-08-26,2023-09-02,"Estándar","TJ-10480"
"AR-2023-115756",2023-09-05,2023-09-07,"Rápido","BC-19075"
"AR-2023-116526",2023-09-01,2023-09-05,"Estándar","GA-15970"
"AR-2023-116911",2023-09-15,2023-09-20,"Estándar","OB-16150"
"AR-2023-117121",2023-12-17,2023-12-21,"Estándar","KC-10105"
"AR-2023-117226",2023-12-30,2024-01-01,"Urgente","EC-16495"
"AR-2023-117590",2023-12-08,2023-12-10,"Urgente","KA-14485"
"AR-2023-122903",2023-05-27,2023-05-29,"Rápido","EP-16780"
"AR-2023-124254",2023-04-12,2023-04-17,"Estándar","FM-21175"
"AR-2023-127670",2023-03-20,2023-03-24,"Estándar","TS-19660"
"AR-2023-128517",2023-04-09,2023-04-14,"Rápido","VC-20350"
"AR-2023-131576",2023-11-22,2023-11-26,"Estándar","CR-19585"
"AR-2023-131891",2023-07-29,2023-07-31,"Urgente","CG-19240"
"AR-2023-133550",2023-07-31,2023-08-06,"Estándar","QG-16645"
"AR-2023-133872",2023-06-14,2023-06-17,"Urgente","LA-21835"
"AR-2023-136770",2023-08-14,2023-08-18,"Estándar","MC-20650"
"AR-2023-139689",2023-12-29,2024-01-03,"Estándar","TS-17965"
"AR-2023-139878",2023-11-11,2023-11-16,"Estándar","MM-17005"
"AR-2023-142335",2023-12-15,2023-12-19,"Estándar","TS-17965"
"AR-2023-142902",2023-09-12,2023-09-14,"Rápido","IL-11185"
"AR-2023-148516",2023-08-07,2023-08-11,"Estándar","KP-13585"
"AR-2023-150000",2023-04-08,2023-04-14,"Estándar","PG-18820"
"AR-2023-150077",2023-02-04,2023-02-10,"Estándar","DJ-17365"
"AR-2023-151141",2023-08-20,2023-08-23,"Urgente","LC-13480"
"AR-2023-152534",2023-06-20,2023-06-25,"Rápido","DP-13105"
"AR-2023-156251",2023-08-13,2023-08-18,"Rápido","LL-21160"
"AR-2023-156748",2023-11-30,2023-12-06,"Estándar","CF-11755"
"AR-2023-158575",2023-11-18,2023-11-24,"Estándar","SB-20290"
"AR-2023-160815",2023-09-05,2023-09-06,"Urgente","DR-21325"
"AR-2023-161676",2023-07-18,2023-07-23,"Estándar","YA-15460"
"AR-2023-162082",2023-03-14,2023-03-17,"Urgente","JH-15880"
"AR-2023-163328",2023-11-04,2023-11-06,"Rápido","MR-21565"
"AR-2023-164350",2023-09-10,2023-09-12,"Rápido","EV-12040"
"AR-2023-165148",2023-10-22,2023-10-24,"Urgente","IC-19135"
"AR-2023-165918",2023-09-10,2023-09-14,"Estándar","CV-11770"
"AR-2023-168774",2023-09-04,2023-09-09,"Estándar","DT-19855"
"AR-2024-101273",2024-08-27,2024-08-30,"Rápido","AE-20530"
"AR-2024-104745",2024-05-29,2024-06-04,"Estándar","IR-14755"
"AR-2024-105074",2024-06-24,2024-06-29,"Estándar","EC-17305"
"AR-2024-105823",2024-06-22,2024-06-26,"Estándar","VV-19465"
"AR-2024-106705",2024-12-26,2025-01-01,"Estándar","PE-18850"
"AR-2024-107979",2024-06-08,2024-06-13,"Estándar","IC-14305"
"AR-2024-109757",2024-09-04,2024-09-09,"Rápido","GC-17350"
"AR-2024-109960",2024-12-09,2024-12-11,"Rápido","FV-13210"
"AR-2024-112900",2024-04-09,2024-04-12,"Rápido","QG-16645"
"AR-2024-114804",2024-10-17,2024-10-19,"Rápido","GV-11020"
"AR-2024-117331",2024-10-21,2024-10-28,"Estándar","AR-18370"
"AR-2024-117870",2024-01-27,2024-01-30,"Rápido","TG-15820"
"AR-2024-119655",2024-04-20,2024-04-24,"Estándar","GF-12295"
"AR-2024-119669",2024-01-24,2024-01-30,"Estándar","NV-21130"
"AR-2024-120376",2024-12-22,2024-12-25,"Urgente","NV-21130"
"AR-2024-121216",2024-12-23,2024-12-25,"Rápido","FF-17920"
"AR-2024-124576",2024-08-01,2024-08-04,"Rápido","JB-14890"
"AR-2024-128951",2024-07-15,2024-07-17,"Urgente","AM-19420"
"AR-2024-130631",2024-12-29,2025-01-02,"Estándar","CF-11755"
"AR-2024-130687",2024-09-07,2024-09-10,"Urgente","AR-19225"
"AR-2024-132584",2024-08-26,2024-08-27,"Urgente","FA-14875"
"AR-2024-133256",2024-06-26,2024-06-27,"Urgente","CS-21550"
"AR-2024-134915",2024-11-12,2024-11-12,"Mismo día","ML-14140"
"AR-2024-139199",2024-12-09,2024-12-13,"Estándar","NL-12835"
"AR-2024-139969",2024-11-19,2024-11-26,"Estándar","LC-10870"
"AR-2024-141138",2024-11-10,2024-11-16,"Estándar","PL-14425"
"AR-2024-141201",2024-12-09,2024-12-11,"Rápido","SB-12910"
"AR-2024-141733",2024-05-07,2024-05-11,"Estándar","BE-19540"
"AR-2024-142776",2024-12-11,2024-12-14,"Rápido","EO-19870"
"AR-2024-143861",2024-06-12,2024-06-19,"Estándar","ES-16885"
"AR-2024-145142",2024-01-23,2024-01-25,"Urgente","LG-17605"
"AR-2024-145310",2024-12-22,2024-12-24,"Rápido","LP-15520"
"AR-2024-145653",2024-09-01,2024-09-01,"Mismo día","MC-12775"
"AR-2024-147277",2024-10-20,2024-10-24,"Estándar","RM-13705"
"AR-2024-147291",2024-03-11,2024-03-17,"Estándar","MU-17740"
"AR-2024-147403",2024-09-10,2024-09-13,"Urgente","CM-16630"
"AR-2024-148054",2024-10-06,2024-10-11,"Estándar","TR-18565"
"AR-2024-150070",2024-09-07,2024-09-12,"Estándar","GA-15970"
"AR-2024-152709",2024-10-07,2024-10-12,"Estándar","FV-13210"
"AR-2024-155929",2024-09-09,2024-09-13,"Estándar","VM-10855"
"AR-2024-157483",2024-11-11,2024-11-18,"Estándar","CA-13915"
"AR-2024-159366",2024-01-07,2024-01-10,"Urgente","AJ-11110"
"AR-2024-161970",2024-09-22,2024-09-27,"Estándar","PB-19105"
"AR-2024-163671",2024-12-24,2024-12-30,"Estándar","DP-13105"
"AR-2024-166576",2024-05-16,2024-05-18,"Urgente","DS-15865"
"BB-2021-113320",2021-12-12,2021-12-15,"Rápido","CP-17155"
"BB-2021-114433",2021-05-13,2021-05-17,"Estándar","HC-18325"
"BB-2022-124058",2022-11-20,2022-11-24,"Estándar","ES-16885"
"BB-2022-142454",2022-08-15,2022-08-19,"Estándar","GL-19450"
"BB-2022-149650",2022-10-24,2022-10-27,"Urgente","TS-19660"
"BB-2023-101938",2023-01-07,2023-01-12,"Estándar","LC-13480"
"BB-2023-138233",2023-11-09,2023-11-14,"Estándar","HA-19165"
"BB-2023-166163",2023-08-15,2023-08-20,"Rápido","AF-12745"
"BB-2024-102379",2024-12-02,2024-12-06,"Estándar","JR-11545"
"BB-2024-109253",2024-08-21,2024-08-22,"Urgente","AB-18880"
"BB-2024-137582",2024-09-04,2024-09-08,"Estándar","OG-12805"
"BB-2024-138380",2024-12-21,2024-12-25,"Estándar","FL-21880"
"BB-2024-168837",2024-10-14,2024-10-17,"Urgente","PE-15955"
"BO-2021-102645",2021-01-23,2021-01-28,"Estándar","AR-15055"
"BO-2021-109043",2021-08-15,2021-08-17,"Urgente","AN-12355"
"BO-2021-114335",2021-09-28,2021-10-03,"Estándar","AH-21865"
"BO-2021-122070",2021-04-22,2021-04-24,"Rápido","SS-10030"
"BO-2021-147704",2021-11-16,2021-11-21,"Estándar","LA-20740"
"BO-2021-158365",2021-04-12,2021-04-17,"Estándar","LB-20785"
"BO-2022-100146",2022-05-14,2022-05-19,"Estándar","EA-12535"
"BO-2022-100657",2022-11-02,2022-11-07,"Estándar","VO-20245"
"BO-2022-102016",2022-09-12,2022-09-18,"Estándar","LS-21010"
"BO-2022-107685",2022-11-30,2022-12-02,"Rápido","DS-15865"
"BO-2022-111703",2022-07-02,2022-07-09,"Estándar","EG-16315"
"BO-2022-115511",2022-11-21,2022-11-25,"Estándar","RN-18400"
"BO-2022-127481",2022-12-12,2022-12-15,"Rápido","PL-15895"
"BO-2022-151470",2022-09-20,2022-09-26,"Estándar","YP-10705"
"BO-2022-166800",2022-11-19,2022-11-26,"Estándar","ES-10300"
"BO-2022-169733",2022-10-22,2022-10-26,"Rápido","MA-14500"
"BO-2023-105277",2023-12-04,2023-12-08,"Estándar","TO-17065"
"BO-2023-111682",2023-06-17,2023-06-18,"Urgente","GT-21055"
"BO-2023-116764",2023-08-27,2023-09-02,"Estándar","NM-13825"
"BO-2023-123050",2023-04-04,2023-04-08,"Rápido","AG-11125"
"BO-2023-142251",2023-10-31,2023-11-04,"Rápido","IC-14305"
"BO-2023-145709",2023-10-04,2023-10-08,"Estándar","IR-10690"
"BO-2023-146934",2023-05-22,2023-05-27,"Estándar","LC-10870"
"BO-2023-152632",2023-10-27,2023-11-02,"Estándar","NS-15475"
"BO-2023-154235",2023-09-24,2023-09-28,"Estándar","MT-19900"
"BO-2023-166674",2023-04-01,2023-04-03,"Rápido","YS-19360"
"BO-2023-167759",2023-03-03,2023-03-08,"Rápido","RM-12670"
"BO-2023-169215",2023-07-14,2023-07-18,"Rápido","GL-19450"
"BO-2024-102946",2024-06-30,2024-07-05,"Estándar","BS-21730"
"BO-2024-129000",2024-11-25,2024-11-27,"Rápido","RA-20035"
"BO-2024-134096",2024-09-24,2024-09-29,"Estándar","SM-18955"
"BO-2024-142671",2024-11-10,2024-11-14,"Rápido","NL-12940"
"BO-2024-146031",2024-07-29,2024-08-01,"Rápido","BM-14440"
"BO-2024-149160",2024-11-23,2024-11-26,"Rápido","GZ-15265"
"BO-2024-154949",2024-10-15,2024-10-19,"Estándar","GA-17275"
"BO-2024-160983",2024-10-29,2024-10-31,"Rápido","MR-14530"
"BO-2024-166688",2024-05-20,2024-05-26,"Estándar","MA-19480"
"BO-2024-167899",2024-05-21,2024-05-26,"Estándar","JA-15805"
"BR-2021-100853",2021-09-14,2021-09-19,"Estándar","TA-15400"
"BR-2021-100860",2021-03-26,2021-03-30,"Rápido","NR-12505"
"BR-2021-100867",2021-10-19,2021-10-24,"Estándar","AC-14125"
"BR-2021-100881",2021-03-28,2021-04-01,"Estándar","NL-12940"
"BR-2021-101147",2021-12-02,2021-12-04,"Urgente","LB-17575"
"BR-2021-101602",2021-12-15,2021-12-18,"Urgente","CV-18100"
"BR-2021-102631",2021-12-13,2021-12-17,"Estándar","ER-13840"
"BR-2021-103191",2021-09-22,2021-09-27,"Estándar","CV-21805"
"BR-2021-103317",2021-07-05,2021-07-08,"Urgente","AR-13525"
"BR-2021-103338",2021-03-11,2021-03-15,"Estándar","EA-19435"
"BR-2021-103527",2021-09-09,2021-09-14,"Rápido","OP-12220"
"BR-2021-103702",2021-09-12,2021-09-17,"Estándar","VB-10885"
"BR-2021-103744",2021-02-23,2021-02-27,"Estándar","MR-17875"
"BR-2021-104283",2021-06-27,2021-07-01,"Estándar","TO-17065"
"BR-2021-104738",2021-12-30,2022-01-01,"Rápido","JA-20620"
"BR-2021-104759",2021-03-31,2021-04-04,"Estándar","ED-13570"
"BR-2021-104808",2021-02-04,2021-02-08,"Rápido","AY-17440"
"BR-2021-104829",2021-11-18,2021-11-21,"Rápido","JA-15805"
"BR-2021-106719",2021-08-24,2021-08-24,"Mismo día","AC-19645"
"BR-2021-106971",2021-09-02,2021-09-08,"Estándar","TO-11785"
"BR-2021-107405",2021-03-21,2021-03-25,"Estándar","GC-21205"
"BR-2021-107594",2021-07-02,2021-07-06,"Estándar","EH-13945"
"BR-2021-107699",2021-05-19,2021-05-23,"Estándar","TG-15820"
"BR-2021-107755",2021-02-07,2021-02-12,"Estándar","SP-12760"
"BR-2021-107818",2021-09-08,2021-09-14,"Estándar","GA-17275"
"BR-2021-108189",2021-10-02,2021-10-05,"Urgente","KP-14080"
"BR-2021-108609",2021-10-31,2021-11-02,"Rápido","WV-10780"
"BR-2021-108707",2021-10-24,2021-10-29,"Estándar","SB-12910"
"BR-2021-109918",2021-09-07,2021-09-12,"Rápido","IB-17035"
"BR-2021-109932",2021-12-09,2021-12-11,"Urgente","HE-21760"
"BR-2021-110100",2021-04-25,2021-04-29,"Estándar","ES-16885"
"BR-2021-110408",2021-10-18,2021-10-20,"Rápido","EM-10225"
"BR-2021-111150",2021-12-31,2022-01-04,"Estándar","OT-19630"
"BR-2021-111171",2021-12-26,2021-12-31,"Estándar","KL-12265"
"BR-2021-111451",2021-12-26,2021-12-28,"Urgente","OL-16555"
"BR-2021-112795",2021-08-23,2021-08-28,"Rápido","CB-12625"
"BR-2021-112851",2021-09-17,2021-09-21,"Estándar","GC-18550"
"BR-2021-112949",2021-06-20,2021-06-27,"Estándar","JG-12640"
"BR-2021-112991",2021-12-10,2021-12-14,"Estándar","JC-19975"
"BR-2021-113047",2021-10-24,2021-10-24,"Mismo día","IL-10915"
"BR-2021-113124",2021-03-30,2021-04-05,"Estándar","IS-18340"
"BR-2021-113383",2021-09-10,2021-09-13,"Urgente","MC-20065"
"BR-2021-113859",2021-09-13,2021-09-17,"Estándar","AG-11125"
"BR-2021-114321",2021-08-20,2021-08-25,"Estándar","JM-18535"
"BR-2021-114377",2021-11-05,2021-11-05,"Mismo día","LB-11035"
"BR-2021-115049",2021-09-26,2021-10-01,"Estándar","FF-17920"
"BR-2021-115084",2021-10-18,2021-10-22,"Estándar","TT-17200"
"BR-2021-115161",2021-01-31,2021-02-02,"Urgente","CB-17050"
"BR-2021-115196",2021-09-09,2021-09-13,"Estándar","AP-12925"
"BR-2021-115336",2021-11-18,2021-11-25,"Estándar","RM-10600"
"BR-2021-115973",2021-11-24,2021-11-26,"Urgente","EV-18430"
"BR-2021-115987",2021-09-08,2021-09-13,"Rápido","EG-17020"
"BR-2021-116407",2021-11-15,2021-11-21,"Estándar","CG-15190"
"BR-2021-116568",2021-12-14,2021-12-20,"Estándar","TO-11785"
"BR-2021-117016",2021-03-04,2021-03-09,"Estándar","AA-20095"
"BR-2021-117058",2021-05-27,2021-05-30,"Urgente","IB-16810"
"BR-2021-117135",2021-06-21,2021-06-23,"Rápido","HC-18325"
"BR-2021-117170",2021-09-17,2021-09-24,"Estándar","PA-16465"
"BR-2021-117744",2021-12-02,2021-12-06,"Estándar","DC-17860"
"BR-2021-118276",2021-12-29,2022-01-02,"Estándar","AP-17890"
"BR-2021-118339",2021-03-17,2021-03-24,"Estándar","AA-11515"
"BR-2021-118997",2021-04-08,2021-04-12,"Estándar","OO-19885"
"BR-2021-119172",2021-05-11,2021-05-15,"Estándar","MA-14785"
"BR-2021-119466",2021-12-15,2021-12-21,"Estándar","DB-20860"
"BR-2021-119508",2021-12-04,2021-12-09,"Estándar","AS-21580"
"BR-2021-120411",2021-09-20,2021-09-23,"Urgente","BA-20185"
"BR-2021-120544",2021-11-23,2021-11-27,"Estándar","UP-20140"
"BR-2021-120670",2021-11-02,2021-11-06,"Estándar","LM-16120"
"BR-2021-120852",2021-12-20,2021-12-25,"Estándar","MR-21850"
"BR-2021-120887",2021-09-27,2021-10-03,"Estándar","GC-21205"
"BR-2021-121006",2021-11-10,2021-11-16,"Estándar","EM-20020"
"BR-2021-121167",2021-11-28,2021-11-30,"Rápido","HO-17500"
"BR-2021-121286",2021-11-04,2021-11-08,"Rápido","LE-18715"
"BR-2021-121734",2021-04-11,2021-04-16,"Estándar","HM-20110"
"BR-2021-122021",2021-10-15,2021-10-17,"Urgente","NC-10660"
"BR-2021-122588",2021-11-25,2021-11-27,"Rápido","EM-10540"
"BR-2021-122609",2021-11-12,2021-11-18,"Estándar","AM-13000"
"BR-2021-123064",2021-06-30,2021-07-02,"Urgente","SG-19915"
"BR-2021-123225",2021-07-11,2021-07-14,"Urgente","LC-17935"
"BR-2021-123519",2021-12-14,2021-12-21,"Estándar","HE-20875"
"BR-2021-124723",2021-08-05,2021-08-12,"Estándar","EM-14470"
"BR-2021-124807",2021-07-12,2021-07-15,"Rápido","NM-17725"
"BR-2021-125731",2021-09-10,2021-09-16,"Estándar","AP-12565"
"BR-2021-126340",2021-11-08,2021-11-14,"Estándar","NQ-13870"
"BR-2021-126522",2021-09-01,2021-09-05,"Rápido","AB-16765"
"BR-2021-126634",2021-12-20,2021-12-22,"Rápido","MM-10165"
"BR-2021-126802",2021-12-29,2022-01-05,"Estándar","FG-21910"
"BR-2021-126907",2021-11-01,2021-11-08,"Estándar","CO-20950"
"BR-2021-126963",2021-06-15,2021-06-15,"Mismo día","PC-18760"
"BR-2021-127383",2021-12-31,2022-01-05,"Estándar","BU-11815"
"BR-2021-127635",2021-09-14,2021-09-18,"Rápido","RA-20260"
"BR-2021-128538",2021-10-11,2021-10-15,"Estándar","LV-10240"
"BR-2021-129147",2021-11-02,2021-11-06,"Estándar","CB-17050"
"BR-2021-129574",2021-05-26,2021-05-29,"Urgente","OM-13240"
"BR-2021-130274",2021-05-03,2021-05-05,"Urgente","EC-15940"
"BR-2021-130379",2021-05-25,2021-05-29,"Estándar","ER-15235"
"BR-2021-130575",2021-12-14,2021-12-16,"Urgente","AB-11845"
"BR-2021-130673",2021-05-20,2021-05-22,"Rápido","DC-17590"
"BR-2021-130729",2021-10-24,2021-10-29,"Estándar","FV-10375"
"BR-2021-131009",2021-03-01,2021-03-05,"Estándar","BH-20380"
"BR-2021-131541",2021-07-28,2021-07-28,"Mismo día","GA-12205"
"BR-2021-131807",2021-10-05,2021-10-10,"Estándar","NC-14650"
"BR-2021-131926",2021-06-01,2021-06-06,"Rápido","LC-13480"
"BR-2021-132745",2021-10-01,2021-10-05,"Estándar","IO-18475"
"BR-2021-132983",2021-04-28,2021-05-03,"Estándar","FM-13180"
"BR-2021-133809",2021-11-18,2021-11-23,"Rápido","DC-17530"
"BR-2021-133949",2021-12-31,2021-12-31,"Mismo día","LV-15175"
"BR-2021-134054",2021-10-10,2021-10-10,"Mismo día","AV-14335"
"BR-2021-134215",2021-08-04,2021-08-08,"Estándar","AL-17395"
"BR-2021-134551",2021-12-20,2021-12-25,"Estándar","EC-21505"
"BR-2021-134614",2021-09-20,2021-09-25,"Estándar","HA-19165"
"BR-2021-134621",2021-12-21,2021-12-28,"Estándar","LG-13390"
"BR-2021-134712",2021-11-29,2021-12-04,"Estándar","IC-11380"
"BR-2021-135405",2021-01-09,2021-01-13,"Estándar","HS-17830"
"BR-2021-135608",2021-12-08,2021-12-10,"Rápido","FM-15625"
"BR-2021-137092",2021-10-20,2021-10-22,"Rápido","RC-16975"
"BR-2021-137274",2021-03-29,2021-04-02,"Estándar","GB-18145"
"BR-2021-137869",2021-03-28,2021-04-02,"Estándar","GF-12295"
"BR-2021-138513",2021-05-23,2021-05-27,"Estándar","RC-13990"
"BR-2021-138527",2021-09-12,2021-09-17,"Estándar","RV-11470"
"BR-2021-140004",2021-03-21,2021-03-25,"Estándar","AS-12025"
"BR-2021-140039",2021-09-13,2021-09-17,"Estándar","LE-18715"
"BR-2021-140165",2021-05-13,2021-05-15,"Urgente","SA-14005"
"BR-2021-140403",2021-10-10,2021-10-10,"Mismo día","TN-21040"
"BR-2021-140452",2021-12-06,2021-12-10,"Estándar","DC-11260"
"BR-2021-140473",2021-05-30,2021-06-03,"Estándar","IG-17425"
"BR-2021-140795",2021-02-01,2021-02-03,"Urgente","UR-11500"
"BR-2021-140816",2021-12-20,2021-12-20,"Mismo día","AV-21295"
"BR-2021-140914",2021-11-11,2021-11-15,"Estándar","CO-11710"
"BR-2021-141110",2021-11-26,2021-12-01,"Estándar","TT-17200"
"BR-2021-141299",2021-06-03,2021-06-07,"Rápido","SO-19795"
"BR-2021-141649",2021-09-30,2021-09-30,"Mismo día","BR-12955"
"BR-2021-141901",2021-08-09,2021-08-14,"Estándar","MA-14500"
"BR-2021-142510",2021-12-22,2021-12-29,"Estándar","KC-18700"
"BR-2021-142587",2021-10-21,2021-10-22,"Urgente","EO-21520"
"BR-2021-142727",2021-04-29,2021-05-01,"Rápido","QM-14845"
"BR-2021-143182",2021-10-15,2021-10-20,"Estándar","AB-12865"
"BR-2021-143385",2021-08-31,2021-09-05,"Estándar","TG-20500"
"BR-2021-143500",2021-12-30,2022-01-03,"Estándar","EP-15230"
"BR-2021-143637",2021-03-24,2021-03-29,"Rápido","FB-17710"
"BR-2021-143840",2021-05-22,2021-05-29,"Estándar","DB-14185"
"BR-2021-144029",2021-05-26,2021-05-31,"Estándar","GO-18055"
"BR-2021-144624",2021-11-19,2021-11-23,"Estándar","DS-15865"
"BR-2021-145800",2021-05-30,2021-06-05,"Estándar","BL-20410"
"BR-2021-146500",2021-08-30,2021-09-04,"Estándar","BA-10735"
"BR-2021-146843",2021-11-30,2021-12-06,"Estándar","BS-19150"
"BR-2021-147543",2021-07-06,2021-07-12,"Estándar","AG-11125"
"BR-2021-147627",2021-01-20,2021-01-26,"Estándar","TC-15040"
"BR-2021-148425",2021-11-30,2021-12-04,"Estándar","IS-19345"
"BR-2021-148761",2021-05-17,2021-05-21,"Estándar","NJ-19060"
"BR-2021-148950",2021-12-14,2021-12-19,"Estándar","IB-16015"
"BR-2021-149104",2021-04-05,2021-04-07,"Rápido","MT-19900"
"BR-2021-150434",2021-07-19,2021-07-24,"Estándar","CG-12310"
"BR-2021-150518",2021-11-19,2021-11-24,"Estándar","GG-18220"
"BR-2021-151015",2021-10-14,2021-10-20,"Estándar","UR-11500"
"BR-2021-151792",2021-09-02,2021-09-07,"Rápido","GF-12295"
"BR-2021-152233",2021-10-05,2021-10-06,"Urgente","LC-16510"
"BR-2021-152254",2021-06-30,2021-06-30,"Mismo día","LM-11620"
"BR-2021-152345",2021-12-29,2022-01-03,"Rápido","AE-20530"
"BR-2021-152618",2021-03-14,2021-03-17,"Urgente","VV-19465"
"BR-2021-152723",2021-09-26,2021-09-26,"Mismo día","CD-14965"
"BR-2021-153087",2021-12-27,2022-01-03,"Estándar","AC-20980"
"BR-2021-153479",2021-10-04,2021-10-08,"Estándar","MG-13135"
"BR-2021-153913",2021-12-16,2021-12-20,"Rápido","OS-16585"
"BR-2021-153927",2021-08-12,2021-08-13,"Urgente","DM-16840"
"BR-2021-153976",2021-10-03,2021-10-08,"Rápido","RS-11290"
"BR-2021-154165",2021-02-17,2021-02-24,"Estándar","AV-13315"
"BR-2021-154599",2021-04-12,2021-04-17,"Estándar","JD-16450"
"BR-2021-154627",2021-10-29,2021-10-31,"Urgente","AP-20830"
"BR-2021-154655",2021-10-12,2021-10-17,"Estándar","MB-11050"
"BR-2021-155208",2021-04-16,2021-04-20,"Estándar","MC-20650"
"BR-2021-155271",2021-05-04,2021-05-04,"Mismo día","TJ-10480"
